trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,down,0.005,db,0.04709448,0.0006217,207.1705316,207.1705316,207.4702536,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,down,0.005,db,0.047067378,0.0006347,209.5029845,209.5029845,209.8027352,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,down,0.005,db,0.047067378,0.0006413,211.8189886,211.8189886,212.1186532,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,down,0.005,db,0.047067378,0.0005459,214.1847361,214.1847361,214.4843027,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,down,0.005,db,0.047040292,0.0006594,216.5009555,216.5009555,216.8003143,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,down,0.005,db,0.047040292,0.0006484,218.8331233,218.8331233,219.1328366,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,down,0.005,db,0.047040292,0.0006331,221.29902,221.29902,221.5989278,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,down,0.005,db,0.047013221,0.0006545,223.6816083,223.6816083,223.9812902,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,down,0.005,db,0.047013221,0.0006423,225.9806893,225.9806893,226.2805501,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,down,0.005,db,0.047013221,0.0006628,228.3132281,228.3132281,228.6129021,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,down,0.005,db,0.046986166,0.0005617,230.6790063,230.6790063,230.9794783,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,down,0.005,db,0.046986166,0.0006296,233.011829,233.011829,233.3113671,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
